Release 13.4 - par O.87xd (lin64)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Wed Jan 15 16:41:38 2014


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       bpm_dsp_example_map.ncd
OUTPUT FILE:      bpm_dsp_example_pad.txt
PART TYPE:        xc6vlx240t
SPEED GRADE:      -1
PACKAGE:          ff1156

Pinout by Pin Number:

+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name     |Pin Usage|Pin Name                  |Direction    |IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|A1        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A2        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A3        |                |OPAD     |MGTTXP3_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|A4        |                |OPAD     |MGTTXN3_116               |UNUSED       |           |              |          |         |           |         |         |          |           |                |
|A5        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A6        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A7        |                |         |GND                       |             |           |              |          |         |           |         |         |          |           |                |
|A8        |                |IOBS     |IO_L5N_A08_D24_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|A9        |                |IOBM     |IO_L5P_A09_D25_34         |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|A10       |                |IOBM     |IO_L1P_GC_34              |UNUSED       |           |34            |          |         |           |         |         |          |           |                |
|A11       |                |IOBM     |IO_L13P_SM6P_35           |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|A12       |                |         |VCCO_35                   |             |           |35            |          |         |           |         |any******|          |           |                |
|A13       |                |IOBM     |IO_L3P_SM1P_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
|A14       |                |IOBS     |IO_L3N_SM1N_35            |UNUSED       |           |35            |          |         |           |         |         |          |           |                |
